11000,20,
11000,305,2-3 oz 
11000,312,Juice of 1 
11000,337,2-4 
11000,455,
11000,476,2 tsp 
11000,629,
11000,632,
11000,633,
11000,647,
11000,648,
11001,20,2 dashes
11001,71,4.5 cL
11001,476,1 cube
11001,513,dash
11001,621,
11001,633,
11001,642,
11001,643,
11001,644,
11001,647,
11002,1,1/2 oz 
11002,2,1/2 oz 
11002,4,1/2 oz 
11002,128,1 splash 
11002,299,Juice of 1/2 
11002,305,1/2 oz 
11002,621,
11002,632,
11003,2,1 oz 
11003,83,1 oz 
11003,482,1 oz 
11003,624,
11003,637,
11003,639,
11003,647,
11004,66,2 oz 
11004,106,1 
11004,299,1/2 slice 
11004,409,1/2 tsp 
11004,618,
11004,632,
11004,644,
11005,2,1 2/3 oz 
11005,189,1/3 oz 
11005,347,1 
11005,629,
11005,630,
11006,305,1 1/2 oz 
11006,312,Juice of 1/2 
11006,409,1 tsp 
11006,622,
11006,639,
11006,647,
11007,4,1 1/2 oz 
11007,308,1 oz 
11007,439,
11007,498,1/2 oz 
11007,622,
11007,632,
11007,644,
11007,647,
11008,20,dash 
11008,71,2 1/2 oz Blended 
11008,270,2 or 3 
11008,322,1 
11008,354,1 twist of 
11008,482,3/4 oz 
11008,621,
11008,632,
11008,633,
11008,644,
11008,646,
11009,1,2 oz 
11009,228,8 oz 
11009,308,2 oz 
11009,629,
11009,643,
11009,648,
11010,32,1 oz 
11010,312,1 
11010,498,1 oz 
11011,32,1 oz 
11011,293,1/2 tsp 
11011,498,1 oz 
11012,18,1 oz 
11012,293,1 dash 
11012,453,1/2 oz 
11012,458,1 oz 
11013,2,1 1/2 oz 
11013,294,Twist of 
11013,350,2 dashes 
11013,532,3/4 oz 
11014,2,1/2 oz 
11014,164,1/2 oz white 
11014,304,2 oz 
11014,344,
11014,622,
11016,74,1 oz 
11016,164,1 oz white 
11016,304,1 oz 
11016,344,
11016,646,
11019,296,1 1/2 oz 
11019,393,1 tblsp 
11019,498,1 dash 
11020,66,1 1/2 oz 
11020,189,1 oz 
11020,393,1 oz 
11020,618,
11021,61,1 1/2 tsp 
11021,71,1 oz 
11021,189,1 oz 
11021,293,1 1/2 tsp 
11021,294,1 twist of 
11021,624,
11022,2,1 oz 
11022,189,1 oz 
11022,288,1/2 tsp 
11023,179,2 oz 
11023,192,1 
11023,282,1 oz 
11023,621,
11024,18,1/2 oz 
11024,164,1/2 oz white 
11024,304,2 oz 
11025,18,1 1/2 oz 
11025,304,1 1/2 oz 
11026,18,1 1/2 oz 
11026,312,1 
11027,18,1 1/2 oz 
11027,127,
11027,308,1/2 oz 
11028,18,1 1/2 oz 
11028,520,3/4 oz 
11029,18,2 oz 
11029,486,6 oz hot 
11029,515,Chilled 
11034,2,1 oz 
11034,26,1/2 oz 
11034,32,1/2 oz 
11046,31,1 oz 
11046,293,1 oz 
11046,498,1 oz 
11046,625,
11050,32,1 oz 
11050,192,1 
11050,293,1/2 oz 
11050,305,1 1/2 oz 
11050,359,1 
11050,498,1 tsp 
11052,2,2 oz 
11052,53,1 tsp 
11052,312,1 
11052,528,1 oz Green Ginger 
11053,97,Chilled 
11053,246,1 tsp 
11054,2,2 oz 
11054,238,1/2 oz 
11054,293,2 tsp 
11054,294,1 twist of 
11055,2,1 1/2 oz 
11055,56,2 dashes 
11055,482,1 1/2 tsp 
11060,5,1 1/2 oz 
11060,56,2 dashes 
11060,189,1/2 oz 
11060,482,1/2 oz 
11060,621,
11064,47,1 
11064,106,1 
11064,305,1 1/2 oz 
11064,308,1 1/2 oz 
11064,476,1 tsp 
11064,498,1 tblsp 
11084,2,3/4 oz 
11084,74,3/4 oz 
11084,89,
11084,189,3/4 oz 
11084,294,
11102,1,1 1/2 oz 
11102,138,3/4 oz 
11106,294,1 twist of 
11106,453,1 1/2 oz 
11106,482,1 oz 
11106,624,
11112,4,1 oz 
11112,94,1 dash 
11112,293,1 dash 
11112,299,1 slice 
11112,483,1 dash 
11112,492,2 oz 
11113,1,1 1/2 oz 
11113,293,1 dash 
11113,312,1 wedge 
11113,483,2-3 drops 
11113,492,3 oz 
11113,529,1/2 tsp 
11113,643,
11113,645,
11113,648,
11117,1,1 oz 
11117,67,1 oz 
11117,106,
11117,300,
11117,648,
11118,4,1 1/2 oz 
11118,67,1 oz 
11118,308,1 oz 
11118,439,Coarse 
11119,1,1/2 oz 
11119,37,1 1/2 oz 
11119,293,1 tsp 
11119,352,1 oz 
11119,490,1/2 oz 
11120,2,1 1/2 oz 
11120,56,2 dashes 
11120,67,1/2 oz 
11120,294,1 twist of 
11120,322,1 
11120,498,1/2 oz 
11120,628,
11121,5,1 1/2 oz 
11121,53,1 1/4 tsp 
11121,294,1 twist of 
11121,482,1 1/2 oz 
11124,2,2 oz 
11124,56,2 dashes 
11124,189,1/2 oz 
11124,322,1 
11124,323,1/2 tsp 
11124,629,
11128,74,3/4 oz 
11128,305,3/4 oz 
11128,312,Juice of 1/2 
11128,498,3/4 oz 
11129,66,2 oz 
11129,106,1 
11129,192,1 
11129,299,1 slice 
11129,409,1 tsp 
11129,634,
11145,56,3 dashes 
11145,71,3 oz 
11145,322,1 
11145,359,1 
11145,476,1 
11145,513,1 tsp 
11146,71,2 oz 
11146,293,1 oz 
11146,294,1 twist of 
11146,476,1 tsp superfine 
11146,513,2 tsp 
11147,71,2 oz 
11147,293,1 oz 
11147,322,1 
11147,359,1 
11147,476,1/2 tsp superfine 
11149,2,1 1/2 oz 
11149,192,1 
11149,250,1/2 tsp 
11149,293,1 tsp 
11149,498,1 oz 
11149,624,
11157,74,2 oz 
11157,127,3 oz 
11157,299,1 
11157,322,1 
11157,359,1 
11157,476,1 tsp superfine 
11164,74,2 oz 
11164,194,1 whole 
11164,304,1/2 oz 
11164,344,1/8 tsp grated 
11164,476,1 tsp superfine 
11170,74,2 oz 
11170,106,1 
11170,299,1/2 slice 
11170,409,1/2 tsp 
11202,81,2 1/2 oz 
11202,312,1 
11202,476,2 tsp
11202,629,
11202,645,
11202,648,
11205,66,2 oz 
11205,89,
11205,250,1/4 tsp
11205,299,Juice of 1 
11205,312,Juice of 1 
11205,409,1 tblsp
11222,305,2 oz 
11222,308,1 1/2 tsp 
11222,323,1 1/2 tsp 
11222,498,1 1/2 tsp 
11222,618,
11222,644,
11224,2,2 oz 
11224,193,1 
11224,293,1/2 oz 
11224,323,1 tsp 
11224,350,1 dash 
11224,631,
11227,56,2 dashes 
11227,97,Chilled 
11227,141,1 dash
11227,294,1 twist of 
11227,476,1 piece 
11239,100,1 1/2 tsp 
11239,304,1 tblsp 
11239,305,1 1/4 oz 
11239,624,
11239,633,
11239,634,
11242,89,
11242,192,1 
11242,299,Juice of 1/2 
11242,305,1 oz 
11242,406,1 oz 
11242,409,1 tsp 
11242,631,
11243,1,1/2 oz 
11243,112,5 oz 
11243,282,1 oz 
11251,74,2 oz 
11251,293,1 tblsp 
11251,498,1/2 oz 
11251,621,
11255,453,1/2 oz 
11255,482,1 oz 
11255,528,1/2 oz Muscatel 
11255,621,
11288,128,
11288,305,2 oz 
11288,312,Juice of 1/2 
11288,621,
11288,639,
11288,644,
11288,645,
11288,648,
11320,2,1 1/2 oz 
11320,228,4 oz 
11320,312,1 
11320,629,
11320,633,
11320,636,
11324,5,2 1/2 oz 
11324,189,1 1/2 tsp 
11324,294,1 twist of 
11324,621,
11326,2,3/4 oz 
11326,56,1 dash 
11326,191,1 1/2 oz 
11326,294,1 twist of 
11326,621,
11338,2,3/4 oz 
11338,74,3/4 oz 
11338,89,
11338,294,
11338,482,3/4 oz 
11338,621,
11339,2,1 1/2 oz 
11339,32,3/4 oz 
11339,106,1 
11339,189,3/4 oz 
11339,250,1 tsp 
11339,293,1/4 tsp 
11339,623,
11368,2,2 oz 
11368,498,1/2 oz 
11368,629,
11368,632,
11369,5,1 oz 
11369,56,1 dash 
11369,475,1/4 tsp 
11369,482,1 oz 
11369,621,
11369,632,
11369,633,
11375,18,1/2 oz 
11375,164,1/2 oz 
11375,304,2 oz 
11375,622,
11382,53,1/2 oz 
11382,66,2 oz 
11382,299,1 slice 
11382,312,1 slice 
11382,621,
11382,632,
11387,106,1 
11387,270,1 cup crushed 
11387,305,1 1/2 oz 
11387,308,1 1/2 oz 
11387,476,1 tsp 
11387,498,1 tblsp 
11387,632,
11390,305,2 oz 
11390,308,1 tblsp 
11390,337,6 
11390,476,1 tsp 
11390,626,
11391,305,1 1/2 oz 
11391,308,1 tblsp 
11391,397,4 chunks 
11391,476,1/2 tsp 
11391,618,
11396,2,1 1/2 oz 
11396,74,1 oz 
11396,127,1 oz 
11396,482,1 oz 
11403,2,2 oz 
11403,312,1 
11403,497,5 oz 
11403,644,
11403,645,
11403,648,
11407,2,2 oz 
11407,89,
11407,294,
11407,357,
11407,409,
11407,629,
11408,2,2 oz 
11408,250,1/2 tsp 
11408,293,1 oz 
11408,322,1 
11408,359,1 
11408,476,1/2 tsp superfine 
11408,624,
11410,2,2 oz 
11410,89,
11410,299,Juice of 1/2 
11410,409,1 tsp 
11410,629,
11415,2,2 oz 
11415,299,Juice of 1/2 
11415,354,Twist of 
11415,409,1 tsp 
11415,513,1 tsp 
11415,629,
11416,2,2 oz 
11416,89,1 oz 
11416,106,1 
11416,337,4 
11416,359,1 slice 
11416,476,1 cube 
11416,632,
11417,2,2 oz 
11417,293,1 oz 
11417,322,1 
11417,359,1 
11417,476,1/2 tsp superfine 
11417,632,
11418,2,1 1/2 oz 
11418,89,
11418,250,1 tsp 
11418,397,3 chunks
11418,409,1 tblsp 
11418,470,2 
11418,624,
11419,2,2 oz 
11419,56,1 dash 
11419,127,3 oz 
11419,308,1 1/2 oz 
11419,476,1 tsp superfine 
11419,629,
11419,632,
11419,637,
11420,2,2 oz 
11420,294,1 twist of 
11420,409,1/2 tsp 
11420,513,2 tsp 
11420,629,
11420,643,
11422,1,1 oz 
11422,18,1 oz 
11422,259,1 oz 
11422,622,
11423,5,1 1/2 oz 
11423,18,3/4 oz 
11424,1,1 1/2 oz 
11424,18,3/4 oz 
11424,621,
11433,2,1 1/2 oz 
11433,250,1/2 tsp 
11433,393,1 oz 
11433,397,1 
11433,498,1 oz 
11433,618,
11433,632,
11462,1,1 oz 
11462,223,1/2 oz 
11462,352,4 oz 
11462,618,
11462,632,
11462,633,
11470,293,1 tsp 
11470,305,1 oz 
11470,393,1 oz 
11470,618,
11472,2,2 oz 
11472,393,1 tblsp 
11472,498,1/2 oz 
11472,618,
11476,5,1 1/2 oz 
11476,347,1 
11476,350,2 dashes 
11476,482,3/4 oz 
11476,621,
11524,66,1 1/2 oz 
11524,89,
11524,299,Juice of 1/2 
11524,305,1/2 oz 
11524,409,1 tsp 
11524,629,
11524,632,
11524,633,
11528,106,1 
11528,273,1 oz 
11528,352,1 oz 
11528,359,1 slice 
11528,375,1/2 oz 
11528,480,1 oz 
11528,625,
11542,26,1 1/2 oz 
11542,250,1 tsp 
11542,312,Juice of 1/2 
11542,624,
11558,66,1 1/2 oz 
11558,89,
11558,192,1 
11558,299,Juice of 1/2 
11558,406,1 tblsp
11558,409,1 tsp 
11558,629,
11566,2,1 1/2 oz 
11566,245,1/2 oz 
11566,532,1/2 oz 
11566,626,
11580,71,2 oz 
11580,127,3 oz 
11580,293,1 oz 
11580,322,1 
11580,359,1 
11580,476,1 tsp superfine 
11580,629,
11580,636,
11600,1,1 oz 
11600,308,1 oz 
11600,498,1 oz 
11600,618,
11602,53,1/2 oz 
11602,71,2 oz 
11602,621,
11604,53,1/2 oz 
11604,71,3 oz 
11604,294,1 twist of 
11604,621,
11634,2,2 oz 
11634,89,
11634,192,1 
11634,299,Juice of 1/2
11634,304,2 tsp 
11634,409,1 tsp 
11634,622,
11634,631,
11658,5,2 oz 
11658,187,1/2 oz 
11658,189,1/2 oz 
11658,294,1 twist of 
11658,621,
11658,632,
11662,2,1 1/2 oz 
11662,323,1/2 oz 
11662,350,2 dashes 
11662,629,
11664,2,1 1/2 oz 
11664,482,3/4 oz 
11664,629,
11666,2,
11666,89,
11666,189,
11666,294,
11666,357,
11666,409,
11666,625,
11670,179,1 1/2 oz 
11670,490,1/2 oz 
11670,621,
11670,633,
11690,106,1 
11690,305,1 oz 
11690,362,1/2 oz 
11690,480,1 1/2 oz 
11690,498,1/2 oz 
11690,647,
11690,648,
11720,2,1 oz 
11720,106,1 
11720,189,1 oz 
11720,350,1 dash 
11720,498,1/4 tsp 
11728,2,1 2/3 oz 
11728,189,1/3 oz 
11728,347,1 
11728,629,
11766,71,2 oz 
11766,179,1 oz 
11766,259,1/2 oz 
11786,71,1/2 oz 
11786,74,1 oz 
11786,89,
11786,299,Juice of 1/2
11786,305,1/2 oz 
11786,409,1 tblsp
11798,56,1 dash 
11798,242,3 oz 
11798,305,1 1/2 oz 
11798,618,
11844,66,2 oz 
11844,106,
11844,299,
11844,425," (Claret)
"
11844,476,1 tsp 
11844,618,
11844,620,
11844,624,
11844,633,
11870,2,1 1/2 oz 
11870,100,1/2 oz 
11870,228,
11870,352,4 oz 
11870,625,
11870,633,
11870,642,
11872,1,1/2 oz 
11872,18,1/2 oz 
11872,164,1/2 oz white 
11872,304,1 oz 
11872,498,1/2 oz 
11872,621,
11872,639,
11936,2,2 oz 
11936,56,3 dashes 
11936,623,
11936,629,
11936,642,
11938,2,1 1/2 oz 
11938,192,1 
11938,250,1 tsp 
11938,304,1 tsp 
11938,623,
11938,633,
11938,644,
11938,647,
11959,2,1 1/2 oz 
11959,164,3/4 oz white 
11959,629,
11961,246,1/2 oz 
11961,250,1 tblsp 
11961,624,
11963,74,1/2 tsp 
11963,406,2 1/2 oz 
11963,624,
11965,194,1 whole 
11965,304,2 tsp 
11965,344,
11965,406,1 1/2 oz 
11965,409,1 tsp 
11965,624,
11983,74,3/4 oz 
11983,299,Juice of 1/4 
11983,305,3/4 oz 
11983,418,2 tsp 
11983,624,
11985,305,1 1/2 
11985,312,Juice of 1/2 
11985,449,1/3 oz cream 
11985,621,
11987,137,1 oz 
11987,311,1 1/2 oz 
11987,449,1/2 oz cream 
11987,622,
11989,250,1 oz 
11989,297,
11989,425,2 oz 
11989,624,
11989,636,
11991,2,1 1/2 oz 
11991,53,1 1/2 tsp 
11991,189,1/2 oz 
11991,618,
11993,179,1 1/2 oz 
11993,282,1/2 oz 
11993,304,1 oz 
11993,344,1/8 tsp grated 
11993,621,
12055,2,1 oz 
12055,128,
12055,194,1 whole 
12055,480,2 oz 
12055,622,
12055,634,
12055,639,
12057,2,2 oz 
12057,89,
12057,194,1 whole 
12057,299,Juice of 1/2 
12057,409,1 tsp 
12057,622,
12067,127,3 oz 
12067,179,2 oz 
12067,299,1 
12067,322,1 
12067,359,1 
12067,476,1 tsp superfine 
12067,621,
12071,3,2 oz light or dark 
12071,297,4 oz 
12071,299,1 
12087,305,2 oz 
12087,333,1 cup 
12087,344,
12087,409,1 tsp 
12087,622,
12089,56,1 dash 
12089,305,1 1/2 oz 
12089,310,Twist of 
12089,409,1/2 tsp 
12089,513,1 tsp 
12089,571,1 tsp 
12089,621,
12091,305,1 1/2 oz 
12091,352,5 oz 
12091,618,
12093,293,1 oz 
12093,305,2 oz 
12093,322,1 
12093,359,1 
12093,476,1/2 tsp superfine 
12093,618,
12093,634,
12093,639,
12097,3,2 oz light or dark 
12097,294,1 twist of 
12097,409,2 tsp 
12097,513,2 tsp 
12097,621,
12097,634,
12097,639,
12097,643,
12101,5,1 1/2 oz 
12101,187,1/2 oz 
12101,294,1 twist of 
12107,2,1 1/2 oz 
12107,242,5 oz 
12107,439,1/4 tsp 
12107,623,
12107,632,
12107,637,
12127,71,2 oz 
