11000,1040
11000,1046
11000,1069
11000,1071
11001,1038
11001,1045
11001,1046
11001,1069
11002,1046
11002,1055
11003,1046
11004,1038
11004,1069
11007,1045
11007,1069
11008,1038
11433,1046
11470,1040
11524,1040
11690,1046
11938,1046
12093,1040
12792,1069
12794,1069
12862,1033
12890,1069
13196,1069
13621,1033
13621,1069
14133,1045
14366,1046
16995,1040
17183,1040
17204,1038
17206,1046
17206,1069
17207,1040
17209,1046
17255,1026
17255,1045
17836,1040
178315,1055
178320,1046
178358,1045
178358,1046
178365,1055
