1,40,ALCOHOL,Vodka
2,40,ALCOHOL,Gin
3,40,ALCOHOL,Rum
4,40,ALCOHOL,Tequila
5,0,ALCOHOL,Scotch
6,40,ALCOHOL,Absolut Kurant
7,40,ALCOHOL,Absolut Peppar
8,40,ALCOHOL,Absolut Vodka
9,17,ALCOHOL,Advocaat
10,38,ALCOHOL,Aejo Rum
11,30,ALCOHOL,Aftershock
12,0,SYRUP,Agave Syrup
13,4,ALCOHOL,Ale
14,0,INGREDIENT,Allspice
16,0,INGREDIENT,Almond Flavoring
17,0,INGREDIENT,Almond
18,28,ALCOHOL,Amaretto
19,0,INGREDIENT,Angelica Root
20,0,BITTER,Angostura Bitters
21,0,INGREDIENT,Anis
22,0,INGREDIENT,Anise
23,0,INGREDIENT,Anisette
24,11,ALCOHOL,Aperol
25,18,ALCOHOL,Apfelkorn
26,35,ALCOHOL,Apple Brandy
27,5,ALCOHOL,Apple Cider
28,0,JUICE,Apple Juice
29,18,ALCOHOL,Apple Schnapps
30,0,INGREDIENT,Apple
31,40,ALCOHOL,Applejack
32,24,ALCOHOL,Apricot Brandy
33,0,INGREDIENT,Apricot Nectar
34,0,INGREDIENT,Apricot
35,0,INGREDIENT,Aquavit
36,0,INGREDIENT,Asafoetida
37,38,ALCOHOL,Añejo Rum
39,32,ALCOHOL,Bacardi Limon
40,38,ALCOHOL,Bacardi
43,13,ALCOHOL,Baileys Irish Cream
44,0,ALCOHOL,Banana Liqueur
45,0,INGREDIENT,Banana Rum
46,0,SYRUP,Banana Syrup
47,0,INGREDIENT,Banana
48,0,INGREDIENT,Barenjager
49,0,INGREDIENT,Basil
51,0,INGREDIENT,Beef Stock
52,4,ALCOHOL,Beer
53,0,INGREDIENT,Benedictine
54,0,INGREDIENT,Berries
55,0,BITTER,Bitter lemon
56,0,BITTER,Bitters
57,0,INGREDIENT,Black Pepper
58,0,INGREDIENT,Black Rum
59,0,INGREDIENT,Black Sambuca
60,0,INGREDIENT,Blackberries
61,0,INGREDIENT,Blackberry Brandy
62,0,ALCOHOL,Blackberry Schnapps
63,0,INGREDIENT,Blackcurrant Cordial
64,0,ALCOHOL,Blackcurrant Schnapps
65,0,INGREDIENT,Blackcurrant Squash
66,40,ALCOHOL,Blended Whiskey
67,0,ALCOHOL,Blue Curacao
68,0,INGREDIENT,Blue Maui
69,0,INGREDIENT,Blueberries
70,0,ALCOHOL,Blueberry Schnapps
71,0,INGREDIENT,Bourbon
74,0,INGREDIENT,Brandy
77,0,INGREDIENT,Brown Sugar
79,0,INGREDIENT,Butter
80,0,ALCOHOL,Butterscotch Schnapps
81,0,INGREDIENT,Cachaca
82,0,INGREDIENT,Calvados
83,0,INGREDIENT,Campari
84,0,INGREDIENT,Canadian Whisky
85,0,INGREDIENT,Candy
86,0,INGREDIENT,Cantaloupe
87,0,INGREDIENT,Caramel Coloring
88,0,INGREDIENT,Carbonated Soft Drink
89,0,INGREDIENT,Carbonated Water
90,0,INGREDIENT,Cardamom
93,0,INGREDIENT,Cayenne Pepper
94,0,INGREDIENT,Celery Salt
95,0,INGREDIENT,Celery
96,0,ALCOHOL,Chambord Raspberry Liqueur
97,13,ALCOHOL,Champagne
99,0,INGREDIENT,Cherries
100,0,INGREDIENT,Cherry Brandy
101,0,INGREDIENT,Cherry Cola
102,0,SYRUP,Cherry Grenadine
103,0,INGREDIENT,Cherry Heering
104,0,JUICE,Cherry Juice
105,0,ALCOHOL,Cherry Liqueur
106,0,INGREDIENT,Cherry
112,0,INGREDIENT,Chocolate Ice-cream
113,0,ALCOHOL,Chocolate Liqueur
114,0,MILK,Chocolate Milk
115,0,SYRUP,Chocolate Syrup
116,0,INGREDIENT,Chocolate
120,4,ALCOHOL,Cider
121,0,ALCOHOL,Cinnamon Schnapps
122,0,INGREDIENT,Cinnamon
123,0,INGREDIENT,Citrus Vodka
124,0,JUICE,Clamato Juice
126,0,INGREDIENT,Cloves
127,0,INGREDIENT,Club Soda
128,0,INGREDIENT,Coca-Cola
130,0,INGREDIENT,Cocktail Onion
131,0,INGREDIENT,Cocoa Powder
132,0,INGREDIENT,Coconut Cream
133,0,ALCOHOL,Coconut Liqueur
134,0,MILK,Coconut Milk
135,0,INGREDIENT,Coconut Rum
136,0,SYRUP,Coconut Syrup
137,0,INGREDIENT,Coffee Brandy
138,0,ALCOHOL,Coffee Liqueur
139,0,INGREDIENT,Coffee
141,0,INGREDIENT,Cognac
142,40,ALCOHOL,Cointreau
143,0,INGREDIENT,Cola
144,0,INGREDIENT,Cold Water
145,0,MILK,Condensed Milk
147,0,INGREDIENT,Coriander
149,0,SYRUP,Corn Syrup
151,0,INGREDIENT,Cornstarch
152,4,ALCOHOL,Corona
154,0,INGREDIENT,Cranberries
155,0,JUICE,Cranberry Juice
156,0,ALCOHOL,Cranberry Liqueur
157,0,INGREDIENT,Cranberry Vodka
158,0,INGREDIENT,Cream of Coconut
159,0,INGREDIENT,Cream Sherry
